player,team,nation,position,age,matches_played,starts,minutes,goals,assists,yellow_cards,red_cards,xG,xAG,PrgC,PrgP,Prgr,Gls/90,Ast/90,xG/90,xGA/90,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,Long_Cmp%,KP,1/3,PPA,CrsPA,PrgP/passing,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ%,Tkld%,Carries,ProDist,ProgC,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Lost,Blocks,Sh,Pass,Int,SCA,SCA90,GCA,GCA90,Fls,Fld,Off,Crs,Recov,Won,Won%,GA90,Save%,CS%,PSave%
Jorge Cuenca,"2024-2025 Fulham Stats
(Premier League)",es ESP,DF,25,6.0,3.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,13.1,102.0,83.6,1768.0,89.5,88.2,42.9,0.0,1.0,0.0,0.0,9.0,152.0,23.0,88.0,59.0,6.0,1.0,5.0,100.0,0.0,65.0,235.0,0.0,0.0,1.0,0.0,92.0,0.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,1.0,0.35,0.0,0.0,2.0,2.0,0.0,1.0,9.0,6.0,66.7,N/a,N/a,N/a,N/a
Jorginho,"2024-2025 Arsenal Stats
(Premier League)",it ITA,MF,33,14.0,9.0,703.0,0.0,0.0,5.0,0.0,0.1,0.4,12.0,48.0,6.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,23.2,410.0,86.7,6450.0,91.5,88.4,58.3,3.0,13.0,10.0,0.0,48.0,519.0,9.0,92.0,303.0,130.0,3.0,20.0,25.0,50.0,302.0,1498.0,12.0,0.0,10.0,9.0,388.0,6.0,12.0,4.0,6.0,3.0,0.0,3.0,7.0,12.0,1.55,0.0,0.0,15.0,17.0,0.0,1.0,54.0,1.0,14.3,N/a,N/a,N/a,N/a
Joshua Acheampong,"2024-2025 Chelsea Stats
(Premier League)",eng ENG,DF,18,4.0,2.0,170.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,8.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,8.9,104.0,83.9,2025.0,90.6,92.6,55.0,0.0,2.0,0.0,0.0,8.0,137.0,7.0,48.0,81.0,8.0,3.0,2.0,50.0,0.0,106.0,709.0,0.0,0.0,2.0,0.0,111.0,0.0,2.0,1.0,6.0,1.0,0.0,1.0,1.0,2.0,1.06,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,14.3,N/a,N/a,N/a,N/a
Joshua Zirkzee,"2024-2025 Manchester United Stats
(Premier League)",nl NED,"FW,MF",23,32.0,14.0,1402.0,3.0,1.0,2.0,0.0,4.8,1.5,14.0,44.0,69.0,0.19,0.06,0.31,0.1,39.3,0.71,0.11,13.1,292.0,71.2,3600.0,78.1,74.4,50.0,12.0,21.0,6.0,0.0,44.0,587.0,16.0,71.0,303.0,219.0,56.0,10.0,31.4,68.6,327.0,1483.0,14.0,4.0,41.0,30.0,418.0,69.0,14.0,8.0,54.0,15.0,4.0,11.0,6.0,31.0,1.99,3.0,0.19,9.0,13.0,3.0,4.0,57.0,21.0,28.0,N/a,N/a,N/a,N/a
José Sá,"2024-2025 Wolverhampton Wanderers Stats
(Premier League)",pt POR,GK,32,25.0,25.0,2250.0,0.0,0.0,2.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.01,N/a,0.0,N/a,N/a,482.0,62.4,12711.0,99.0,97.1,30.0,2.0,0.0,1.0,0.0,2.0,829.0,658.0,821.0,9.0,0.0,0.0,2.0,100.0,0.0,509.0,3070.0,0.0,0.0,1.0,0.0,402.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.16,0.0,0.0,3.0,8.0,0.0,0.0,29.0,8.0,100.0,1.76,61.5,24.0,20.0
Jota Silva,"2024-2025 Nottingham Forest Stats
(Premier League)",pt POR,"FW,MF",25,27.0,5.0,828.0,3.0,1.0,5.0,0.0,1.9,2.9,19.0,16.0,54.0,0.33,0.11,0.2,0.31,33.3,0.76,0.14,14.9,113.0,61.1,1602.0,77.1,59.6,42.9,14.0,11.0,9.0,3.0,16.0,338.0,19.0,81.0,95.0,173.0,44.0,25.0,31.3,43.8,166.0,1063.0,19.0,8.0,24.0,11.0,193.0,54.0,24.0,13.0,27.0,9.0,1.0,8.0,12.0,29.0,3.15,3.0,0.33,24.0,22.0,7.0,19.0,42.0,21.0,43.8,N/a,N/a,N/a,N/a
João Félix,"2024-2025 Chelsea Stats
(Premier League)",pt POR,"FW,MF",25,12.0,3.0,369.0,1.0,1.0,2.0,0.0,2.2,1.0,21.0,26.0,30.0,0.24,0.24,0.54,0.23,25.0,1.22,0.05,15.9,171.0,85.9,2588.0,90.5,91.2,66.7,6.0,13.0,8.0,0.0,26.0,272.0,2.0,26.0,128.0,125.0,30.0,9.0,32.3,45.2,193.0,1248.0,21.0,5.0,6.0,4.0,218.0,30.0,8.0,3.0,5.0,2.0,0.0,2.0,3.0,18.0,4.38,3.0,0.73,6.0,17.0,1.0,0.0,22.0,4.0,44.4,N/a,N/a,N/a,N/a
João Gomes,"2024-2025 Wolverhampton Wanderers Stats
(Premier League)",br BRA,MF,24,30.0,30.0,2511.0,3.0,1.0,10.0,1.0,2.6,1.1,50.0,141.0,62.0,0.11,0.04,0.09,0.04,21.9,0.25,0.09,18.3,1144.0,85.2,16520.0,90.9,86.0,61.2,20.0,47.0,21.0,1.0,141.0,1662.0,55.0,357.0,911.0,416.0,38.0,89.0,44.0,44.0,868.0,5084.0,50.0,6.0,32.0,45.0,1106.0,62.0,91.0,55.0,22.0,37.0,3.0,34.0,25.0,57.0,2.04,3.0,0.11,62.0,36.0,1.0,25.0,163.0,9.0,29.0,N/a,N/a,N/a,N/a
João Pedro,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",br BRA,"FW,MF",23,26.0,22.0,1888.0,10.0,6.0,4.0,0.0,8.9,4.8,64.0,76.0,123.0,0.48,0.29,0.42,0.23,36.6,0.72,0.12,17.1,465.0,72.8,6612.0,78.9,74.6,66.7,29.0,37.0,35.0,4.0,76.0,903.0,10.0,55.0,373.0,489.0,120.0,10.0,34.6,52.6,590.0,3654.0,64.0,29.0,70.0,37.0,708.0,123.0,15.0,11.0,42.0,12.0,0.0,12.0,8.0,70.0,3.34,9.0,0.43,23.0,45.0,2.0,21.0,57.0,40.0,48.8,N/a,N/a,N/a,N/a
Joël Veltman,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",nl NED,DF,33,19.0,19.0,1643.0,0.0,0.0,4.0,0.0,0.5,0.5,29.0,79.0,32.0,0.0,0.0,0.03,0.03,16.7,0.05,0.0,19.7,716.0,80.0,12082.0,89.8,80.6,63.3,6.0,22.0,8.0,5.0,79.0,1097.0,64.0,327.0,540.0,240.0,10.0,51.0,26.7,33.3,524.0,2780.0,29.0,3.0,19.0,7.0,598.0,32.0,42.0,28.0,18.0,22.0,7.0,15.0,18.0,22.0,1.21,1.0,0.05,26.0,42.0,0.0,23.0,67.0,21.0,53.8,N/a,N/a,N/a,N/a
Joško Gvardiol,"2024-2025 Manchester City Stats
(Premier League)",hr CRO,DF,23,31.0,30.0,2737.0,5.0,0.0,1.0,0.0,4.2,2.0,77.0,225.0,96.0,0.16,0.0,0.14,0.07,31.4,0.36,0.14,13.3,2079.0,90.6,33420.0,94.1,92.6,68.6,25.0,89.0,19.0,1.0,225.0,2615.0,122.0,643.0,1285.0,709.0,82.0,34.0,59.0,33.3,1688.0,8875.0,77.0,13.0,24.0,15.0,1911.0,96.0,50.0,34.0,28.0,35.0,17.0,18.0,33.0,66.0,2.17,6.0,0.2,12.0,19.0,2.0,19.0,123.0,45.0,61.6,N/a,N/a,N/a,N/a
Julian Araujo,"2024-2025 Bournemouth Stats
(Premier League)",mx MEX,DF,23,8.0,5.0,355.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,14.0,11.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,131.0,78.9,2297.0,89.6,85.9,40.9,0.0,0.0,1.0,0.0,14.0,200.0,15.0,68.0,103.0,32.0,1.0,10.0,N/a,N/a,84.0,290.0,2.0,0.0,4.0,2.0,100.0,11.0,7.0,3.0,6.0,3.0,0.0,3.0,4.0,2.0,0.51,0.0,0.0,4.0,1.0,0.0,4.0,24.0,2.0,25.0,N/a,N/a,N/a,N/a
Julio Enciso,"2024-2025 Ipswich Town Stats
(Premier League)",py PAR,"MF,FW",21,8.0,7.0,505.0,1.0,3.0,3.0,0.0,1.1,1.2,11.0,21.0,26.0,0.18,0.53,0.2,0.22,38.9,1.25,0.06,22.8,117.0,70.9,1819.0,77.9,73.7,58.3,9.0,13.0,5.0,0.0,21.0,246.0,3.0,28.0,125.0,100.0,12.0,4.0,58.1,38.7,122.0,817.0,11.0,4.0,12.0,21.0,170.0,26.0,7.0,5.0,14.0,2.0,0.0,2.0,1.0,20.0,3.56,3.0,0.53,5.0,10.0,0.0,8.0,27.0,5.0,26.3,N/a,N/a,N/a,N/a
Julio Enciso,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",py PAR,"MF,FW",21,12.0,2.0,294.0,0.0,0.0,0.0,0.0,1.0,0.2,11.0,14.0,17.0,0.0,0.0,0.31,0.07,55.0,3.37,0.0,21.3,99.0,66.0,1464.0,81.3,72.5,22.7,5.0,10.0,4.0,1.0,14.0,202.0,2.0,17.0,72.0,116.0,20.0,2.0,47.6,38.1,114.0,678.0,11.0,4.0,7.0,9.0,141.0,17.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,12.0,3.69,0.0,0.0,3.0,7.0,0.0,20.0,15.0,6.0,54.5,N/a,N/a,N/a,N/a
Jurriën Timber,"2024-2025 Arsenal Stats
(Premier League)",nl NED,DF,23,29.0,26.0,2327.0,1.0,2.0,7.0,0.0,1.2,0.8,53.0,141.0,104.0,0.04,0.08,0.05,0.03,28.6,0.15,0.07,14.1,1118.0,85.1,16097.0,90.6,85.5,52.1,16.0,26.0,16.0,2.0,141.0,1575.0,50.0,283.0,807.0,492.0,66.0,26.0,45.3,45.3,837.0,3662.0,53.0,11.0,32.0,23.0,978.0,104.0,57.0,37.0,19.0,19.0,4.0,15.0,21.0,50.0,1.93,8.0,0.31,31.0,29.0,6.0,28.0,91.0,22.0,53.7,N/a,N/a,N/a,N/a
Justin Devenny,"2024-2025 Crystal Palace Stats
(Premier League)",nir NIR,MF,21,17.0,3.0,343.0,1.0,0.0,0.0,0.0,0.5,0.4,3.0,13.0,10.0,0.26,0.0,0.14,0.11,42.9,0.79,0.14,22.7,105.0,70.5,1658.0,81.2,71.2,35.0,6.0,5.0,3.0,1.0,13.0,203.0,7.0,41.0,98.0,69.0,5.0,13.0,50.0,50.0,90.0,469.0,3.0,1.0,12.0,2.0,120.0,10.0,11.0,8.0,12.0,3.0,0.0,3.0,0.0,10.0,2.62,0.0,0.0,5.0,0.0,1.0,17.0,17.0,1.0,7.7,N/a,N/a,N/a,N/a
Justin Kluivert,"2024-2025 Bournemouth Stats
(Premier League)",nl NED,"MF,FW",25,28.0,24.0,1936.0,12.0,6.0,6.0,0.0,9.9,4.7,64.0,88.0,132.0,0.56,0.28,0.46,0.22,44.0,1.02,0.12,20.1,451.0,72.5,7052.0,82.3,75.2,52.8,43.0,44.0,26.0,4.0,88.0,879.0,21.0,87.0,295.0,517.0,111.0,19.0,40.8,47.4,511.0,3273.0,64.0,33.0,44.0,24.0,562.0,132.0,20.0,9.0,22.0,20.0,0.0,20.0,13.0,88.0,4.09,11.0,0.51,38.0,25.0,5.0,71.0,66.0,7.0,24.1,N/a,N/a,N/a,N/a
Jáder Durán,"2024-2025 Aston Villa Stats
(Premier League)",co COL,FW,21,20.0,4.0,638.0,7.0,0.0,3.0,1.0,4.9,0.2,7.0,13.0,44.0,0.99,0.0,0.69,0.03,48.4,2.12,0.23,15.6,115.0,70.6,1558.0,81.0,68.0,45.5,4.0,7.0,1.0,0.0,13.0,263.0,13.0,36.0,110.0,122.0,47.0,4.0,21.4,64.3,133.0,535.0,7.0,2.0,16.0,15.0,192.0,44.0,8.0,7.0,19.0,5.0,0.0,5.0,0.0,18.0,2.54,1.0,0.14,14.0,15.0,5.0,3.0,19.0,19.0,50.0,N/a,N/a,N/a,N/a
Jørgen Strand Larsen,"2024-2025 Wolverhampton Wanderers Stats
(Premier League)",no NOR,FW,25,30.0,27.0,2314.0,12.0,2.0,4.0,0.0,9.2,2.4,14.0,25.0,96.0,0.47,0.08,0.36,0.09,64.6,1.21,0.25,11.8,257.0,64.1,3319.0,71.9,63.4,73.3,19.0,12.0,4.0,1.0,25.0,647.0,32.0,80.0,307.0,261.0,96.0,23.0,46.7,53.3,304.0,1035.0,14.0,7.0,83.0,31.0,469.0,96.0,9.0,6.0,91.0,17.0,4.0,13.0,4.0,38.0,1.48,4.0,0.16,42.0,17.0,14.0,5.0,41.0,60.0,39.7,N/a,N/a,N/a,N/a
Kai Havertz,"2024-2025 Arsenal Stats
(Premier League)",de GER,"FW,MF",25,21.0,21.0,1839.0,9.0,3.0,4.0,0.0,9.4,2.4,34.0,59.0,110.0,0.44,0.15,0.46,0.12,40.4,1.03,0.17,11.7,401.0,78.5,4833.0,84.1,82.5,45.5,16.0,23.0,8.0,1.0,59.0,768.0,31.0,88.0,282.0,403.0,103.0,15.0,23.7,63.2,411.0,1957.0,34.0,18.0,42.0,22.0,575.0,110.0,16.0,9.0,73.0,22.0,4.0,18.0,6.0,41.0,2.01,3.0,0.15,36.0,21.0,14.0,11.0,39.0,62.0,45.9,N/a,N/a,N/a,N/a
Kalvin Phillips,"2024-2025 Ipswich Town Stats
(Premier League)",eng ENG,MF,29,18.0,14.0,1214.0,0.0,0.0,6.0,1.0,0.4,0.2,4.0,49.0,4.0,0.0,0.0,0.03,0.02,20.0,0.15,0.0,24.2,426.0,79.3,8392.0,82.9,86.6,62.1,5.0,5.0,6.0,1.0,49.0,722.0,60.0,220.0,388.0,118.0,4.0,38.0,41.7,50.0,302.0,1447.0,4.0,0.0,24.0,10.0,383.0,4.0,34.0,19.0,21.0,35.0,6.0,29.0,19.0,17.0,1.26,3.0,0.22,28.0,19.0,0.0,18.0,68.0,7.0,25.0,N/a,N/a,N/a,N/a
Kamaldeen Sulemana,"2024-2025 Southampton Stats
(Premier League)",gh GHA,"FW,MF",23,20.0,11.0,972.0,1.0,1.0,0.0,0.0,1.1,0.7,50.0,20.0,67.0,0.09,0.09,0.1,0.07,31.6,0.56,0.05,17.8,209.0,78.9,3052.0,89.0,83.3,39.1,9.0,33.0,9.0,6.0,20.0,429.0,11.0,56.0,163.0,226.0,42.0,12.0,37.5,55.0,282.0,2479.0,50.0,20.0,34.0,20.0,303.0,67.0,14.0,12.0,20.0,9.0,0.0,9.0,5.0,24.0,2.22,3.0,0.28,12.0,10.0,1.0,22.0,48.0,6.0,23.1,N/a,N/a,N/a,N/a
Kaoru Mitoma,"2024-2025 Brighton & Hove Albion Stats
(Premier League)",jp JPN,"FW,MF",27,31.0,28.0,2467.0,7.0,3.0,1.0,0.0,7.5,4.4,135.0,80.0,274.0,0.26,0.11,0.27,0.16,46.0,0.84,0.14,14.1,685.0,75.4,8929.0,86.7,70.9,44.9,35.0,74.0,32.0,8.0,80.0,1265.0,14.0,143.0,438.0,711.0,151.0,44.0,38.1,57.9,764.0,6138.0,135.0,54.0,48.0,22.0,888.0,274.0,41.0,24.0,26.0,45.0,3.0,42.0,13.0,81.0,2.96,8.0,0.29,38.0,23.0,5.0,69.0,91.0,24.0,48.0,N/a,N/a,N/a,N/a
Kasey McAteer,"2024-2025 Leicester City Stats
(Premier League)",ie IRL,"FW,MF",23,13.0,5.0,484.0,0.0,1.0,1.0,0.0,0.6,0.5,13.0,9.0,42.0,0.0,0.19,0.11,0.09,37.5,0.56,0.0,16.7,115.0,69.7,1587.0,84.6,69.6,50.0,6.0,9.0,5.0,2.0,9.0,237.0,16.0,49.0,92.0,102.0,19.0,18.0,7.7,61.5,146.0,944.0,13.0,7.0,9.0,6.0,162.0,42.0,11.0,8.0,14.0,10.0,1.0,9.0,3.0,15.0,2.79,2.0,0.37,13.0,13.0,2.0,14.0,28.0,9.0,39.1,N/a,N/a,N/a,N/a
Keane Lewis-Potter,"2024-2025 Brentford Stats
(Premier League)",eng ENG,"DF,FW",24,32.0,30.0,2639.0,1.0,2.0,5.0,0.0,2.6,2.5,90.0,85.0,136.0,0.03,0.07,0.09,0.09,51.9,0.48,0.04,20.5,828.0,76.7,13524.0,89.2,78.3,49.0,21.0,61.0,39.0,14.0,85.0,1376.0,92.0,415.0,527.0,451.0,69.0,41.0,38.9,51.1,721.0,5297.0,90.0,34.0,41.0,18.0,813.0,136.0,43.0,25.0,32.0,24.0,9.0,15.0,17.0,63.0,2.15,7.0,0.24,13.0,26.0,4.0,66.0,128.0,26.0,44.8,N/a,N/a,N/a,N/a
Kenny Tete,"2024-2025 Fulham Stats
(Premier League)",nl NED,DF,29,16.0,15.0,1271.0,0.0,2.0,3.0,0.0,1.0,0.7,33.0,42.0,39.0,0.0,0.14,0.07,0.05,11.1,0.14,0.0,16.4,576.0,81.6,9210.0,91.5,80.0,63.9,5.0,17.0,6.0,4.0,42.0,881.0,48.0,273.0,383.0,232.0,26.0,28.0,47.1,23.5,460.0,2301.0,33.0,7.0,16.0,10.0,511.0,39.0,41.0,27.0,11.0,19.0,6.0,13.0,28.0,23.0,1.63,3.0,0.21,23.0,13.0,0.0,19.0,50.0,15.0,57.7,N/a,N/a,N/a,N/a
Kepa Arrizabalaga,"2024-2025 Bournemouth Stats
(Premier League)",es ESP,GK,30,24.0,24.0,2160.0,0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,567.0,71.5,15640.0,97.8,98.0,46.6,1.0,0.0,0.0,0.0,0.0,843.0,617.0,820.0,22.0,1.0,1.0,1.0,100.0,0.0,488.0,2436.0,0.0,0.0,0.0,0.0,378.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.17,0.0,0.0,2.0,4.0,0.0,0.0,44.0,5.0,83.3,1.37,73.4,20.8,0.0
Kevin Danso,"2024-2025 Tottenham Hotspur Stats
(Premier League)",at AUT,DF,26,4.0,4.0,347.0,0.0,0.0,0.0,0.0,0.3,0.0,2.0,7.0,0.0,0.0,0.0,0.09,0.01,50.0,0.52,0.0,11.3,261.0,90.9,4534.0,93.3,94.3,55.0,1.0,0.0,1.0,1.0,7.0,334.0,42.0,179.0,141.0,15.0,7.0,6.0,50.0,50.0,242.0,1075.0,2.0,0.0,6.0,0.0,254.0,0.0,5.0,4.0,6.0,4.0,4.0,0.0,2.0,3.0,0.78,2.0,0.52,4.0,4.0,0.0,1.0,11.0,7.0,53.8,N/a,N/a,N/a,N/a
Kevin De Bruyne,"2024-2025 Manchester City Stats
(Premier League)",be BEL,MF,33,22.0,14.0,1279.0,3.0,7.0,2.0,0.0,3.1,7.1,41.0,119.0,119.0,0.21,0.49,0.22,0.5,26.7,0.84,0.07,22.3,683.0,76.1,11577.0,85.8,77.1,58.7,44.0,40.0,47.0,10.0,119.0,1038.0,10.0,65.0,346.0,635.0,61.0,18.0,40.0,46.7,606.0,3126.0,41.0,16.0,22.0,23.0,786.0,119.0,13.0,6.0,12.0,7.0,0.0,7.0,6.0,91.0,6.4,11.0,0.77,14.0,14.0,5.0,95.0,46.0,4.0,25.0,N/a,N/a,N/a,N/a
Kevin Schade,"2024-2025 Brentford Stats
(Premier League)",de GER,FW,23,32.0,20.0,1845.0,7.0,2.0,3.0,0.0,5.9,3.2,54.0,32.0,137.0,0.34,0.1,0.29,0.16,42.9,0.88,0.17,11.8,268.0,58.1,4167.0,68.5,59.4,40.0,18.0,26.0,8.0,2.0,32.0,730.0,34.0,114.0,203.0,427.0,114.0,20.0,34.2,57.5,373.0,2696.0,54.0,33.0,45.0,33.0,452.0,137.0,33.0,22.0,60.0,14.0,2.0,12.0,5.0,44.0,2.15,8.0,0.39,19.0,31.0,13.0,35.0,69.0,72.0,54.5,N/a,N/a,N/a,N/a
Kieran Tierney,"2024-2025 Arsenal Stats
(Premier League)",sct SCO,"DF,FW",27,8.0,1.0,158.0,0.0,0.0,0.0,0.0,0.2,0.8,4.0,9.0,14.0,0.0,0.0,0.12,0.47,0.0,0.0,0.0,2.6,69.0,82.1,1059.0,97.6,75.0,50.0,6.0,3.0,4.0,2.0,9.0,98.0,4.0,16.0,33.0,49.0,4.0,4.0,33.3,33.3,41.0,163.0,4.0,1.0,1.0,0.0,65.0,14.0,4.0,3.0,4.0,0.0,0.0,0.0,2.0,7.0,3.99,0.0,0.0,0.0,2.0,2.0,7.0,3.0,3.0,42.9,N/a,N/a,N/a,N/a
Kieran Trippier,"2024-2025 Newcastle United Stats
(Premier League)",eng ENG,DF,34,20.0,10.0,949.0,0.0,0.0,1.0,0.0,0.1,0.7,18.0,61.0,32.0,0.0,0.0,0.01,0.06,0.0,0.0,0.0,22.2,715.0,81.8,12139.0,94.4,84.9,44.3,13.0,9.0,7.0,1.0,61.0,970.0,38.0,302.0,420.0,256.0,9.0,28.0,57.1,42.9,444.0,1710.0,18.0,3.0,7.0,4.0,593.0,32.0,27.0,16.0,9.0,5.0,1.0,4.0,11.0,35.0,3.32,1.0,0.09,13.0,7.0,2.0,53.0,50.0,16.0,64.0,N/a,N/a,N/a,N/a
Kiernan Dewsbury-Hall,"2024-2025 Chelsea Stats
(Premier League)",eng ENG,"MF,FW",26,11.0,2.0,258.0,0.0,1.0,0.0,0.0,0.2,1.1,5.0,14.0,11.0,0.0,0.35,0.08,0.37,0.0,0.0,0.0,7.8,127.0,84.1,1898.0,91.5,83.9,55.6,3.0,1.0,3.0,0.0,14.0,180.0,4.0,28.0,94.0,58.0,6.0,6.0,50.0,50.0,93.0,474.0,5.0,0.0,1.0,3.0,136.0,11.0,8.0,5.0,1.0,2.0,0.0,2.0,1.0,5.0,1.74,1.0,0.35,4.0,6.0,0.0,2.0,8.0,0.0,0.0,N/a,N/a,N/a,N/a
Kobbie Mainoo,"2024-2025 Manchester United Stats
(Premier League)",eng ENG,MF,19,19.0,15.0,1294.0,0.0,0.0,5.0,0.0,0.5,1.5,19.0,54.0,36.0,0.0,0.0,0.04,0.11,10.0,0.07,0.0,20.2,589.0,86.4,7845.0,91.7,88.6,74.3,13.0,12.0,9.0,0.0,54.0,859.0,17.0,166.0,487.0,213.0,30.0,33.0,48.8,46.3,532.0,2359.0,19.0,9.0,25.0,30.0,609.0,36.0,37.0,24.0,25.0,15.0,2.0,13.0,17.0,25.0,1.74,1.0,0.07,24.0,19.0,2.0,4.0,72.0,16.0,39.0,N/a,N/a,N/a,N/a
Konstantinos Mavropanos,"2024-2025 West Ham United Stats
(Premier League)",gr GRE,DF,27,28.0,19.0,1849.0,0.0,0.0,5.0,1.0,1.5,0.5,16.0,58.0,2.0,0.0,0.0,0.07,0.02,29.4,0.24,0.0,15.0,960.0,85.7,18880.0,91.1,92.1,57.8,4.0,10.0,4.0,1.0,58.0,1358.0,202.0,704.0,602.0,60.0,22.0,25.0,52.9,29.4,745.0,3730.0,16.0,1.0,12.0,0.0,885.0,2.0,32.0,22.0,23.0,21.0,15.0,6.0,38.0,14.0,0.68,0.0,0.0,16.0,14.0,3.0,2.0,65.0,55.0,70.5,N/a,N/a,N/a,N/a
Kosta Nedeljković,"2024-2025 Aston Villa Stats
(Premier League)",rs SRB,DF,19,5.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,N/a,47.0,88.7,853.0,95.7,84.0,80.0,0.0,0.0,0.0,0.0,6.0,66.0,4.0,15.0,32.0,19.0,0.0,3.0,50.0,50.0,27.0,101.0,1.0,0.0,1.0,0.0,32.0,0.0,7.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,N/a,N/a,N/a,N/a
Kostas Tsimikas,"2024-2025 Liverpool Stats
(Premier League)",gr GRE,DF,28,15.0,6.0,576.0,0.0,1.0,2.0,0.0,0.1,1.3,13.0,60.0,28.0,0.0,0.16,0.02,0.21,33.3,0.16,0.0,18.3,406.0,84.9,6926.0,94.7,90.1,52.2,8.0,5.0,8.0,2.0,60.0,544.0,23.0,129.0,247.0,170.0,8.0,17.0,50.0,33.3,266.0,1121.0,13.0,2.0,4.0,2.0,348.0,28.0,24.0,15.0,5.0,5.0,2.0,3.0,8.0,18.0,2.81,2.0,0.31,9.0,5.0,1.0,42.0,22.0,5.0,50.0,N/a,N/a,N/a,N/a
Kristoffer Ajer,"2024-2025 Brentford Stats
(Premier League)",no NOR,DF,26,19.0,17.0,1363.0,0.0,0.0,4.0,0.0,0.8,1.2,26.0,51.0,41.0,0.0,0.0,0.05,0.08,37.5,0.2,0.0,10.2,467.0,78.0,7318.0,86.9,79.4,49.1,7.0,10.0,7.0,4.0,51.0,739.0,50.0,247.0,345.0,152.0,35.0,25.0,50.0,42.9,361.0,1982.0,26.0,2.0,15.0,12.0,463.0,41.0,23.0,16.0,21.0,17.0,4.0,13.0,12.0,17.0,1.12,2.0,0.13,11.0,6.0,1.0,14.0,40.0,27.0,56.3,N/a,N/a,N/a,N/a
Kyle Walker,"2024-2025 Manchester City Stats
(Premier League)",eng ENG,DF,34,15.0,9.0,970.0,0.0,0.0,3.0,0.0,0.1,0.4,12.0,64.0,11.0,0.0,0.0,0.01,0.04,40.0,0.19,0.0,27.7,724.0,87.7,11928.0,94.6,91.3,51.2,7.0,13.0,7.0,4.0,64.0,892.0,26.0,197.0,473.0,228.0,5.0,26.0,50.0,33.3,499.0,2284.0,12.0,0.0,9.0,2.0,630.0,11.0,17.0,10.0,7.0,13.0,4.0,9.0,3.0,17.0,1.58,0.0,0.0,6.0,5.0,1.0,14.0,46.0,9.0,56.3,N/a,N/a,N/a,N/a
Kyle Walker-Peters,"2024-2025 Southampton Stats
(Premier League)",eng ENG,DF,28,30.0,30.0,2648.0,0.0,2.0,5.0,0.0,0.6,2.7,108.0,129.0,127.0,0.0,0.07,0.02,0.09,29.4,0.17,0.0,19.1,1380.0,88.3,20848.0,94.0,90.0,61.4,23.0,66.0,29.0,4.0,129.0,1859.0,139.0,568.0,808.0,497.0,53.0,33.0,38.8,45.0,1152.0,7334.0,108.0,22.0,29.0,35.0,1309.0,127.0,43.0,28.0,20.0,25.0,14.0,11.0,17.0,55.0,1.87,6.0,0.2,26.0,47.0,2.0,51.0,123.0,10.0,33.3,N/a,N/a,N/a,N/a
Lamare Bogarde,"2024-2025 Aston Villa Stats
(Premier League)",nl NED,"DF,MF",21,8.0,5.0,476.0,0.0,0.0,2.0,0.0,0.0,0.1,12.0,14.0,9.0,0.0,0.0,0.01,0.02,100.0,0.19,0.0,20.2,240.0,88.2,3682.0,92.8,92.2,33.3,2.0,6.0,1.0,0.0,14.0,325.0,16.0,95.0,191.0,40.0,4.0,16.0,50.0,25.0,173.0,1031.0,12.0,1.0,6.0,8.0,212.0,9.0,14.0,6.0,6.0,5.0,3.0,2.0,1.0,10.0,1.89,1.0,0.19,8.0,11.0,0.0,0.0,13.0,6.0,50.0,N/a,N/a,N/a,N/a
